Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
79	1.6702499389648438	2.75	0.664718	3.72	1.87	1000.0	0.22803009	0.13242278	0.802926	-0.10181179	320000	-3.7252903e-09	0.057101894	-0.047538057	-0.0422287	0.60890853	0.01513046	0.23625	32.0	263.20545983314514
80	1.678950548171997	2.375	0.77332073	3.1699998	1.22	1000.0	0.21940957	0.13766329	0.6846449	-0.22699773	324000	-1.1175871e-08	0.043284766	-0.035259727	-0.030216508	0.60228294	0.015370963	0.17575	20.0	266.71731305122375
81	1.6959450244903564	3.0725	0.5974268	3.79	2.33	1000.0	0.31234163	0.14184701	0.7881213	-0.02977254	328000	-7.450581e-09	0.0497517	-0.025068263	-0.035830803	0.5992428	0.01600784	0.17	13.0	270.0317950248718
82	1.711536169052124	2.99	0.439033	3.36	2.28	1000.0	0.37436724	0.16216469	0.8720933	-0.26679197	332000	1.4901161e-08	0.06714993	-0.035788305	-0.056962326	0.59916776	0.015869608	0.19174999	20.0	273.4262897968292
83	1.7286903858184814	3.1525	0.79944897	3.8899999	1.8299999	1000.0	0.2997566	0.14899015	0.7882528	-0.17652963	336000	1.4901161e-08	0.060740404	-0.031119822	-0.04702413	0.59931815	0.01539	0.158	17.0	276.8647620677948
84	1.740323543548584	2.7175	0.54320234	3.48	2.11	1000.0	0.28331372	0.18722433	0.86176425	-0.24384202	340000	-3.7252903e-09	0.051920723	-0.036193006	-0.043734085	0.5959013	0.0152544165	0.19775	20.0	280.0452558994293
85	1.7530231475830078	2.8325	0.62766933	3.48	1.8499999	1000.0	0.2700556	0.15282673	0.92121637	-0.1555462	344000	-3.7252903e-09	0.051976968	-0.041077465	-0.04332269	0.5944013	0.015588188	0.20324999	24.0	283.5083079338074
86	1.7784483432769775	3.965	2.3689396	7.8399997	1.9399999	1000.0	0.29875183	0.18705116	0.8982866	-0.2731524	348000	1.4901161e-08	0.13779853	-0.023251131	-0.095221564	0.59100085	0.015073703	0.15224999	14.0	286.8573708534241
87	1.799659013748169	3.6449997	0.8806958	4.38	2.1399999	1000.0	0.42099905	0.20359556	0.9566627	-0.16418943	352000	1.1175871e-08	0.09805471	-0.022575941	-0.08352411	0.58704036	0.015412173	0.118999995	11.0	290.0192859172821
88	1.811657190322876	2.8674998	1.1462412	4.35	1.38	1000.0	0.34221345	0.2271758	0.9497442	-0.48082003	356000	2.9802322e-08	0.09101671	-0.025177445	-0.081060246	0.58360374	0.015766133	0.133	14.0	293.37379002571106
89	1.830194354057312	3.4799998	0.5466716	4.3199997	2.96	1000.0	0.40615618	0.20578817	0.9637826	-0.0448388	360000	-2.2351742e-08	0.04371494	-0.03991144	-0.03646233	0.5799818	0.0153232515	0.20324999	23.0	296.7218680381775
90	1.851043939590454	3.7274997	1.1323289	5.66	2.78	1000.0	0.39973626	0.15342882	0.852537	-0.06841941	364000	1.1175871e-08	0.10002658	-0.0246101	-0.070594646	0.5760623	0.015691368	0.13775	13.0	300.01639699935913
91	1.8678531646728516	3.3975	0.5443517	4.17	2.72	1000.0	0.33187366	0.21590044	0.93767387	-0.25224125	368000	0.0	0.057290804	-0.032846794	-0.04296503	0.57456005	0.015000517	0.1595	20.0	303.4693419933319
92	1.8780643939971924	2.8174999	0.8882954	4.31	2.11	1000.0	0.30778563	0.15987249	0.87737393	-0.23826317	372000	-7.450581e-09	0.047632076	-0.017287044	-0.036462054	0.5742919	0.015541602	0.14649999	8.0	307.01400899887085
93	1.9045745134353638	4.37	1.7123814	7.0099998	2.3	1000.0	0.35114142	0.19846617	0.9222789	-0.2848329	376000	7.450581e-09	0.07328103	-0.039218858	-0.053953655	0.57420075	0.015067403	0.17475	23.0	310.54576683044434
94	1.925342082977295	3.8774998	0.2521284	4.18	3.59	1000.0	0.37104395	0.16941772	0.9344458	-0.2817385	380000	-7.450581e-09	0.04614739	-0.043611094	-0.034160666	0.57511795	0.015015122	0.21725	31.0	313.99648690223694
95	1.9444010257720947	3.7549999	0.57491297	4.7	3.1699998	1000.0	0.47196826	0.22646758	0.96494055	-0.28803748	384000	1.8626451e-08	0.08166304	-0.045451887	-0.06522895	0.56909585	0.01506186	0.21225	34.0	317.25574803352356
96	1.9561597108840942	3.085	0.7436565	3.98	2.35	1000.0	0.3030146	0.18520434	0.8776848	-0.49622694	388000	1.8626451e-08	0.06434195	-0.037802428	-0.05433987	0.56323045	0.015507037	0.2055	21.0	320.5183699131012
97	1.9686989784240723	3.185	1.5010412	5.74	1.9699999	1000.0	0.24250607	0.17770337	0.7615437	-0.4546003	392000	-1.4901161e-08	0.14030612	-0.038851842	-0.110269085	0.55871433	0.015545611	0.19000001	22.0	323.90355682373047
98	1.9880303144454956	3.8824997	1.0500803	5.45	2.72	1000.0	0.27372646	0.23728219	0.9531291	-0.24963765	396000	7.450581e-09	0.10032512	-0.009854308	-0.089256495	0.55506045	0.017339468	0.1955	5.0	327.1895899772644
99	2.0060999393463135	3.7949998	1.0792937	5.14	2.6	1000.0	0.32223994	0.19874732	0.95799285	-0.25004444	400000	-1.4901161e-08	0.044264577	-0.020597074	-0.036033817	0.5546505	0.016070472	0.17199999	11.0	330.40454292297363
100	2.0443499088287354	4.02	0.9563211	5.23	2.59	1000.0	0.43136328	0.21051523	0.97235465	-0.1874956	404000	7.450581e-09	0.105462	-0.019731518	-0.082609996	0.5538624	0.015275465	0.161	10.0	333.755007982254
101	2.0752999782562256	3.355	0.48798048	3.75	2.52	1000.0	0.3480484	0.21454094	0.953782	-0.23682289	408000	2.2351742e-08	0.04774695	-0.044623405	-0.039440397	0.5542561	0.015143141	0.22075	34.0	337.22809290885925
102	2.1116247177124023	4.0074997	0.45124143	4.67	3.3999999	1000.0	0.37248126	0.2179669	0.94366074	-0.15957876	412000	1.1175871e-08	0.07961631	-0.013714524	-0.059565913	0.55319136	0.015018245	0.14675	7.0	340.5294380187988
103	2.1360998153686523	2.7725	0.5441679	3.6899998	2.28	1000.0	0.38289788	0.2313777	0.9470383	-0.19462828	416000	7.450581e-09	0.075314425	-0.027313612	-0.064103924	0.5518572	0.015054753	0.22375	13.0	343.7875599861145
104	2.178224802017212	4.4700003	0.80265176	5.6299996	3.6	1000.0	0.40957257	0.23472221	0.97800016	-0.10576556	420000	1.1175871e-08	0.07278259	-0.03541856	-0.057444844	0.5512148	0.015191389	0.19125	20.0	347.16838097572327
105	2.2211499214172363	4.9125	1.4711963	6.44	3.07	1000.0	0.4151225	0.23495145	0.9848527	-0.34401345	424000	1.1175871e-08	0.081179895	-0.024136405	-0.06500001	0.5517112	0.01546531	0.167	11.0	350.5711307525635
106	2.2552499771118164	3.8274999	1.457693	6.27	2.52	1000.0	0.44856524	0.27838024	0.99560916	-0.36257133	428000	7.450581e-09	0.059875093	-0.016887201	-0.050521977	0.5517306	0.015380176	0.16950001	7.0	354.3556070327759
107	2.2909250259399414	4.0424995	0.869982	5.0299997	2.6499999	1000.0	0.38710168	0.17332433	0.95143783	-0.13072327	432000	3.7252903e-09	0.07133712	-0.0327772	-0.058331776	0.55155	0.015368994	0.1935	17.0	358.22483682632446
